T1,T2,F1_T,F1,MCC_T,MCC
0.73,0.24,39,21.51,33,11.91
0.73,0.25,41,21.67,39,12.45
0.73,0.26,41,21.54,41,12.28
0.73,0.27,45,20.77,45,10.65
0.73,0.28,45,20.25,45,9.96
0.73,0.29,48,20.41,43,10.25
0.73,0.30,48,20.01,48,9.59
0.73,0.31,49,19.76,43,9.30
0.73,0.32,52,19.82,52,9.22
0.73,0.33,49,19.50,47,9.37
0.73,0.34,49,19.63,49,9.58
0.73,0.35,57,19.32,48,8.97
0.73,0.36,59,19.18,48,8.37
0.73,0.37,49,18.76,49,8.30
0.73,0.38,53,19.14,53,8.63
0.73,0.39,54,18.89,54,8.12
0.73,0.40,52,18.86,52,8.56
0.73,0.41,62,18.42,50,7.13
0.73,0.42,62,18.72,62,7.39
0.73,0.43,62,18.93,62,7.79
0.73,0.44,62,19.15,62,8.26
0.73,0.45,62,18.73,62,7.52
0.73,0.46,63,18.56,56,7.37
0.73,0.47,63,18.65,63,7.39
0.73,0.48,68,18.69,68,7.35
0.73,0.49,63,18.63,63,7.51
0.73,0.50,68,18.68,68,7.32
0.73,0.51,68,18.46,68,6.93
0.73,0.52,65,18.21,63,6.66
0.73,0.53,67,18.02,72,6.14
0.73,0.54,67,17.93,60,5.96
0.73,0.55,65,17.96,65,6.15
0.73,0.56,63,17.84,63,6.05
0.73,0.57,66,17.86,66,5.90
0.73,0.58,72,17.86,73,5.92
0.73,0.59,72,17.99,63,6.12
0.73,0.60,68,18.07,68,6.37
0.73,0.61,69,18.17,69,6.55
0.73,0.62,69,18.20,69,6.64
0.73,0.63,72,18.43,69,7.19
0.73,0.64,72,18.47,72,7.05
0.73,0.65,71,18.63,71,7.52
0.73,0.66,72,18.51,72,7.19
0.73,0.67,72,18.32,72,6.83
0.73,0.68,74,18.45,74,6.97
0.73,0.69,75,18.27,75,6.60
0.73,0.70,75,18.44,75,6.95
0.73,0.71,75,18.50,75,7.08
0.73,0.72,75,18.44,75,6.98
0.73,0.73,75,18.43,75,6.97
0.73,0.74,75,18.51,75,7.14
0.73,0.75,75,18.59,75,7.35
0.73,0.76,75,18.41,75,7.01
0.73,0.77,75,18.32,72,7.00
0.73,0.78,75,18.33,72,7.19
0.73,0.79,77,18.24,74,6.67
0.73,0.80,74,18.28,74,6.98
0.73,0.81,74,18.10,74,6.56
0.73,0.82,74,18.29,74,7.08
0.73,0.83,74,18.22,74,6.96
0.73,0.84,75,18.21,75,6.81
0.73,0.85,75,18.11,75,6.61
0.73,0.86,75,18.16,75,6.74
0.73,0.87,75,17.88,74,6.07
0.73,0.88,76,18.18,76,6.77
0.73,0.89,78,18.27,78,6.75
0.73,0.90,78,18.37,78,6.96
0.73,0.91,77,18.10,77,6.52
0.73,0.92,76,18.14,76,6.77
0.73,0.93,76,18.15,76,6.81
0.73,0.94,77,18.17,77,6.75
0.73,0.95,77,18.09,77,6.57
0.73,0.96,77,18.10,77,6.62
0.73,0.97,77,18.20,77,6.90
0.73,0.98,79,18.15,77,6.65
0.73,0.99,79,18.24,79,6.79
0.74,0.00,0,0.00,0,0.00
0.74,0.01,0,19.34,4,13.43
0.74,0.02,0,23.71,2,15.98
0.74,0.03,0,27.15,0,18.94
0.74,0.04,2,28.43,5,23.12
0.74,0.05,5,33.56,5,26.90
0.74,0.06,5,34.18,5,27.18
0.74,0.07,8,35.64,9,29.34
0.74,0.08,10,35.59,13,31.48
0.74,0.09,13,35.32,15,29.21
0.74,0.10,15,34.74,18,29.11
0.74,0.11,17,35.58,17,28.69
0.74,0.12,19,33.24,19,25.95
0.74,0.13,21,32.03,21,24.55
0.74,0.14,23,30.53,21,23.07
0.74,0.15,24,30.22,24,22.62
0.74,0.16,24,27.44,24,19.96
0.74,0.17,29,27.19,29,18.93
0.74,0.18,31,26.49,34,18.11
0.74,0.19,35,25.35,35,16.63
0.74,0.20,35,24.37,35,15.36
0.74,0.21,36,23.27,36,14.03
0.74,0.22,35,22.37,35,13.24
0.74,0.23,39,21.80,33,12.23
0.74,0.24,39,21.44,33,11.81
0.74,0.25,43,21.59,39,12.25
0.74,0.26,41,21.07,39,11.53
0.74,0.27,45,20.72,43,10.68
0.74,0.28,45,20.44,45,10.33
0.74,0.29,50,20.41,43,10.26
0.74,0.30,48,20.05,48,9.71
0.74,0.31,51,19.73,44,9.79
0.74,0.32,52,19.92,52,9.41
0.74,0.33,49,19.76,49,9.64
0.74,0.34,49,19.73,49,9.84
0.74,0.35,57,19.44,48,8.82
0.74,0.36,59,19.17,59,8.16
0.74,0.37,50,18.68,49,7.95
0.74,0.38,53,19.09,53,8.54
0.74,0.39,54,18.87,51,8.41
0.74,0.40,52,18.99,52,8.93
0.74,0.41,62,18.63,62,7.25
0.74,0.42,62,18.62,62,7.22
0.74,0.43,62,19.04,62,7.99
0.74,0.44,62,19.14,62,8.26
0.74,0.45,62,18.59,62,7.26
0.74,0.46,63,18.42,56,6.93
0.74,0.47,65,18.59,65,7.18
0.74,0.48,68,18.75,68,7.44
0.74,0.49,68,18.52,63,7.10
0.74,0.50,68,18.64,68,7.25
0.74,0.51,68,18.40,65,6.87
0.74,0.52,65,18.12,60,6.52
0.74,0.53,70,17.92,60,6.00
0.74,0.54,65,17.82,60,5.89
0.74,0.55,65,17.92,62,6.15
0.74,0.56,63,17.94,63,6.34
0.74,0.57,63,17.77,63,5.95
0.74,0.58,68,17.78,63,5.88
0.74,0.59,72,17.93,63,6.29
0.74,0.60,69,18.07,69,6.31
0.74,0.61,69,18.13,69,6.46
0.74,0.62,69,18.26,69,6.79
0.74,0.63,72,18.54,72,7.19
0.74,0.64,72,18.55,72,7.25
0.74,0.65,72,18.73,71,7.68
0.74,0.66,72,18.74,72,7.71
0.74,0.67,74,18.50,72,7.17
0.74,0.68,74,18.61,74,7.30
0.74,0.69,76,18.52,75,7.09
0.74,0.70,75,18.68,75,7.44
0.74,0.71,75,18.65,75,7.39
0.74,0.72,75,18.57,75,7.25
0.74,0.73,75,18.47,75,7.06
0.74,0.74,79,18.62,75,7.21
0.74,0.75,75,18.51,75,7.22
0.74,0.76,75,18.45,75,7.12
0.74,0.77,75,18.41,72,7.19
0.74,0.78,75,18.33,72,7.19
0.74,0.79,77,18.19,72,6.71
0.74,0.80,77,18.27,75,6.81
0.74,0.81,77,18.17,77,6.49
0.74,0.82,74,18.19,74,6.85
0.74,0.83,74,18.13,74,6.75
0.74,0.84,75,18.11,75,6.58
0.74,0.85,75,18.03,75,6.42
0.74,0.86,75,18.09,75,6.58
0.74,0.87,79,17.87,75,5.93
0.74,0.88,76,18.17,76,6.76
0.74,0.89,78,18.23,78,6.66
0.74,0.90,78,18.39,78,7.04
0.74,0.91,77,18.02,76,6.39
0.74,0.92,76,18.05,76,6.56
0.74,0.93,77,18.13,77,6.63
0.74,0.94,77,18.18,77,6.78
0.74,0.95,77,18.09,77,6.58
0.74,0.96,77,18.08,77,6.58
0.74,0.97,77,18.07,77,6.59
0.74,0.98,79,18.16,78,6.68
0.74,0.99,79,18.28,79,6.89
0.75,0.00,0,0.00,0,0.00
0.75,0.01,0,19.31,4,13.25
0.75,0.02,0,23.65,2,15.92
0.75,0.03,0,27.00,0,18.77
0.75,0.04,2,28.26,5,22.91
0.75,0.05,5,33.50,5,26.76
0.75,0.06,5,34.09,5,27.10
0.75,0.07,7,35.39,7,28.53
0.75,0.08,10,35.45,13,32.02
0.75,0.09,13,35.69,13,29.37
0.75,0.10,13,34.47,18,28.84
0.75,0.11,17,35.40,17,28.47
0.75,0.12,19,33.47,19,26.22
0.75,0.13,21,31.93,21,24.44
0.75,0.14,23,30.55,20,22.85
0.75,0.15,24,30.09,24,22.51
0.75,0.16,24,27.41,24,19.98
0.75,0.17,29,26.94,28,18.78
0.75,0.18,31,26.04,31,17.50
0.75,0.19,35,25.06,29,17.15
0.75,0.20,35,24.13,29,15.56
0.75,0.21,36,23.15,35,14.01
0.75,0.22,35,22.24,35,13.10
0.75,0.23,39,21.91,39,12.28
0.75,0.24,39,21.45,39,11.84
0.75,0.25,43,21.59,39,11.76
0.75,0.26,43,21.31,43,11.50
0.75,0.27,45,20.51,43,10.41
0.75,0.28,45,20.34,45,10.19
0.75,0.29,50,20.77,50,10.56
0.75,0.30,48,19.94,48,9.53
0.75,0.31,48,19.80,44,10.00
0.75,0.32,52,20.15,52,9.82
0.75,0.33,48,19.75,48,9.91
0.75,0.34,52,19.71,49,9.74
0.75,0.35,50,19.53,50,9.44
0.75,0.36,52,19.23,50,8.80
0.75,0.37,53,18.96,49,8.55
0.75,0.38,53,19.34,53,9.15
0.75,0.39,54,19.16,54,8.79
0.75,0.40,52,18.95,52,8.91
0.75,0.41,62,18.81,62,7.55
0.75,0.42,62,18.83,62,7.58
0.75,0.43,63,19.07,63,8.01
0.75,0.44,62,19.24,62,8.47
0.75,0.45,62,18.72,62,7.53
0.75,0.46,65,18.45,65,6.92
0.75,0.47,63,18.55,63,7.22
0.75,0.48,68,19.05,68,7.95
0.75,0.49,68,18.73,68,7.40
0.75,0.50,67,18.64,67,7.29
0.75,0.51,65,18.29,65,6.74
0.75,0.52,70,18.12,70,6.36
0.75,0.53,70,18.32,70,6.69
0.75,0.54,72,18.16,72,6.46
0.75,0.55,72,18.01,72,6.19
0.75,0.56,63,17.94,63,6.38
0.75,0.57,72,18.01,72,6.13
0.75,0.58,73,17.94,73,6.05
0.75,0.59,72,18.40,72,6.84
0.75,0.60,72,18.27,72,6.60
0.75,0.61,72,18.46,72,6.99
0.75,0.62,72,18.21,72,6.52
0.75,0.63,71,18.42,71,7.04
0.75,0.64,73,18.53,73,7.13
0.75,0.65,72,18.64,72,7.48
0.75,0.66,72,18.71,72,7.69
0.75,0.67,74,18.59,74,7.26
0.75,0.68,75,18.65,75,7.33
0.75,0.69,75,18.79,75,7.64
0.75,0.70,75,18.74,75,7.57
0.75,0.71,75,18.65,75,7.41
0.75,0.72,75,18.52,75,7.16
0.75,0.73,78,18.50,78,7.01
0.75,0.74,79,18.66,79,7.28
0.75,0.75,75,18.64,75,7.52
0.75,0.76,75,18.63,75,7.55
0.75,0.77,75,18.53,75,7.36
0.75,0.78,75,18.47,75,7.25
0.75,0.79,77,18.42,77,6.99
0.75,0.80,77,18.49,75,7.18
0.75,0.81,77,18.29,77,6.77
0.75,0.82,75,18.19,75,6.74
0.75,0.83,75,18.16,75,6.69
0.75,0.84,77,18.13,77,6.46
0.75,0.85,75,17.93,75,6.17
0.75,0.86,75,17.97,75,6.30
0.75,0.87,79,18.07,79,6.26
0.75,0.88,76,18.21,76,6.89
0.75,0.89,78,18.43,78,7.11
0.75,0.90,78,18.47,78,7.23
0.75,0.91,77,18.16,77,6.70
0.75,0.92,77,18.17,77,6.75
0.75,0.93,77,18.27,77,6.99
0.75,0.94,77,18.15,77,6.72
0.75,0.95,77,18.04,77,6.49
0.75,0.96,77,17.97,77,6.33
0.75,0.97,78,18.10,78,6.53
0.75,0.98,78,18.24,78,6.90
0.75,0.99,78,18.26,78,7.01
0.76,0.00,0,0.00,0,0.00
0.76,0.01,0,19.31,4,13.25
0.76,0.02,0,23.61,2,15.85
0.76,0.03,2,26.98,2,18.71
0.76,0.04,2,28.26,5,22.71
0.76,0.05,5,33.73,5,27.00
0.76,0.06,6,34.43,6,27.36
0.76,0.07,7,35.71,7,28.94
0.76,0.08,10,35.64,13,31.96
0.76,0.09,13,35.36,13,28.88
0.76,0.10,13,34.70,18,29.46
0.76,0.11,17,35.05,17,28.04
0.76,0.12,19,33.29,19,26.04
0.76,0.13,21,31.70,21,24.20
0.76,0.14,23,30.29,20,23.09
0.76,0.15,24,29.65,24,22.02
0.76,0.16,29,27.40,22,19.86
0.76,0.17,28,26.90,28,18.90
0.76,0.18,31,26.36,31,17.95
0.76,0.19,35,24.78,29,16.86
0.76,0.20,35,23.72,29,16.15
0.76,0.21,35,23.05,35,13.93
0.76,0.22,34,21.92,33,13.11
0.76,0.23,39,21.73,39,12.03
0.76,0.24,39,21.30,39,11.64
0.76,0.25,43,21.47,39,11.63
0.76,0.26,43,21.16,39,11.41
0.76,0.27,45,20.65,45,10.53
0.76,0.28,45,20.34,45,10.22
0.76,0.29,50,20.74,50,10.53
0.76,0.30,48,20.03,47,9.77
0.76,0.31,48,19.93,45,10.23
0.76,0.32,53,19.94,45,9.93
0.76,0.33,49,19.91,47,10.13
0.76,0.34,53,19.80,49,10.05
0.76,0.35,50,19.36,50,9.11
0.76,0.36,59,19.30,52,8.94
0.76,0.37,53,19.06,53,8.41
0.76,0.38,54,19.24,53,8.96
0.76,0.39,54,19.06,54,8.59
0.76,0.40,52,18.93,52,8.88
0.76,0.41,62,18.95,52,7.91
0.76,0.42,62,18.81,62,7.55
0.76,0.43,62,19.04,62,8.02
0.76,0.44,62,19.33,62,8.67
0.76,0.45,62,18.93,62,7.98
0.76,0.46,62,18.45,62,7.05
0.76,0.47,65,18.64,65,7.31
0.76,0.48,68,19.02,68,7.90
0.76,0.49,68,18.82,68,7.55
0.76,0.50,67,18.71,67,7.41
0.76,0.51,68,18.28,65,6.63
0.76,0.52,70,18.33,70,6.71
0.76,0.53,70,18.43,70,6.87
0.76,0.54,72,18.40,72,6.85
0.76,0.55,72,18.19,72,6.49
0.76,0.56,72,18.04,63,6.40
0.76,0.57,72,18.24,72,6.54
0.76,0.58,73,18.07,73,6.28
0.76,0.59,72,18.28,72,6.61
0.76,0.60,72,18.12,72,6.31
0.76,0.61,72,18.29,72,6.67
0.76,0.62,72,18.28,72,6.67
0.76,0.63,71,18.39,71,6.99
0.76,0.64,72,18.59,72,7.35
0.76,0.65,72,18.70,72,7.63
0.76,0.66,72,18.71,72,7.70
0.76,0.67,74,18.66,74,7.41
0.76,0.68,75,18.82,75,7.67
0.76,0.69,75,18.85,75,7.76
0.76,0.70,75,18.71,75,7.51
0.76,0.71,75,18.59,75,7.30
0.76,0.72,76,18.51,76,7.10
0.76,0.73,75,18.53,75,7.22
0.76,0.74,75,18.68,75,7.56
0.76,0.75,75,18.78,75,7.83
0.76,0.76,75,18.61,75,7.52
0.76,0.77,75,18.52,75,7.37
0.76,0.78,75,18.46,75,7.24
0.76,0.79,79,18.42,75,7.07
0.76,0.80,79,18.52,75,7.17
0.76,0.81,79,18.32,79,6.70
0.76,0.82,79,18.14,74,6.50
0.76,0.83,75,18.04,75,6.42
0.76,0.84,79,17.96,74,6.21
0.76,0.85,79,17.95,79,6.00
0.76,0.86,75,17.95,75,6.25
0.76,0.87,79,17.94,79,5.98
0.76,0.88,76,18.20,76,6.87
0.76,0.89,78,18.33,78,6.91
0.76,0.90,78,18.28,77,6.94
0.76,0.91,77,18.12,77,6.62
0.76,0.92,77,18.16,77,6.72
0.76,0.93,77,18.23,77,6.93
0.76,0.94,77,18.09,77,6.60
0.76,0.95,77,18.00,77,6.41
0.76,0.96,77,17.95,77,6.29
0.76,0.97,78,17.99,78,6.28
0.76,0.98,78,18.12,78,6.63
0.76,0.99,78,18.14,78,6.72
0.77,0.00,0,0.00,0,0.00
0.77,0.01,0,19.28,4,13.25
0.77,0.02,0,23.55,2,15.73
0.77,0.03,2,26.83,0,18.53
0.77,0.04,2,28.26,5,22.61
0.77,0.05,5,33.84,5,27.08
0.77,0.06,6,34.18,6,27.06
0.77,0.07,7,35.78,7,29.05
0.77,0.08,10,35.74,13,31.68
0.77,0.09,13,35.05,13,28.50
0.77,0.10,15,34.50,18,28.97
0.77,0.11,18,34.93,18,28.16
0.77,0.12,19,33.07,19,25.78
0.77,0.13,21,31.59,21,24.09
0.77,0.14,26,30.80,26,23.72
0.77,0.15,24,29.66,24,22.08
0.77,0.16,29,28.07,29,19.92
0.77,0.17,31,26.77,26,18.71
0.77,0.18,31,26.18,31,17.76
0.77,0.19,31,24.94,31,16.62
0.77,0.20,31,23.72,29,15.78
0.77,0.21,35,23.15,35,14.12
0.77,0.22,34,22.35,34,13.84
0.77,0.23,39,22.03,39,12.53
0.77,0.24,39,21.47,39,11.97
0.77,0.25,41,21.31,41,11.72
0.77,0.26,43,20.98,39,11.17
0.77,0.27,45,20.37,45,10.10
0.77,0.28,45,20.18,45,9.97
0.77,0.29,51,21.35,51,11.43
0.77,0.30,48,20.03,48,9.73
0.77,0.31,48,19.97,45,10.23
0.77,0.32,54,19.88,48,9.94
0.77,0.33,49,19.97,49,10.21
0.77,0.34,52,19.94,49,9.92
0.77,0.35,58,19.39,50,9.19
0.77,0.36,52,19.15,52,8.65
0.77,0.37,58,19.02,50,8.22
0.77,0.38,62,19.12,54,8.53
0.77,0.39,53,19.05,53,8.78
0.77,0.40,62,18.92,52,8.87
0.77,0.41,62,18.80,52,8.14
0.77,0.42,62,18.81,62,7.56
0.77,0.43,62,19.14,62,8.22
0.77,0.44,62,19.29,62,8.61
0.77,0.45,62,18.78,62,7.71
0.77,0.46,65,18.42,57,7.22
0.77,0.47,65,18.76,63,7.64
0.77,0.48,68,19.11,68,8.06
0.77,0.49,68,18.83,68,7.59
0.77,0.50,68,18.68,68,7.33
0.77,0.51,72,18.35,65,6.91
0.77,0.52,70,18.24,70,6.55
0.77,0.53,72,18.35,72,6.79
0.77,0.54,72,18.48,72,6.99
0.77,0.55,72,18.13,62,6.52
0.77,0.56,72,18.35,72,6.74
0.77,0.57,72,18.48,72,6.97
0.77,0.58,73,18.34,73,6.72
0.77,0.59,72,18.66,72,7.33
0.77,0.60,72,18.62,72,7.29
0.77,0.61,72,18.76,72,7.61
0.77,0.62,72,18.66,72,7.44
0.77,0.63,72,18.68,72,7.55
0.77,0.64,72,18.72,72,7.66
0.77,0.65,73,18.80,72,7.75
0.77,0.66,74,18.76,72,7.63
0.77,0.67,74,18.77,74,7.66
0.77,0.68,75,18.93,75,7.90
0.77,0.69,75,18.87,75,7.83
0.77,0.70,75,18.82,75,7.76
0.77,0.71,75,18.63,75,7.41
0.77,0.72,76,18.72,76,7.53
0.77,0.73,76,18.66,75,7.47
0.77,0.74,75,18.79,75,7.82
0.77,0.75,75,18.91,75,8.15
0.77,0.76,79,18.76,75,7.68
0.77,0.77,75,18.65,75,7.67
0.77,0.78,75,18.59,75,7.57
0.77,0.79,79,18.72,75,7.48
0.77,0.80,79,18.83,79,7.69
0.77,0.81,79,18.51,79,7.09
0.77,0.82,79,18.32,76,6.94
0.77,0.83,79,18.23,76,6.77
0.77,0.84,79,18.13,77,6.49
0.77,0.85,79,18.14,76,6.45
0.77,0.86,76,18.07,76,6.51
0.77,0.87,79,18.03,79,6.17
0.77,0.88,76,18.24,76,7.00
0.77,0.89,78,18.41,78,7.10
0.77,0.90,78,18.35,77,7.09
0.77,0.91,77,18.16,77,6.72
0.77,0.92,77,18.20,77,6.85
0.77,0.93,77,18.27,77,7.06
0.77,0.94,77,18.13,77,6.73
0.77,0.95,77,18.07,77,6.59
0.77,0.96,77,17.92,77,6.25
0.77,0.97,78,18.04,78,6.42
0.77,0.98,78,18.16,78,6.74
0.77,0.99,79,18.28,79,6.95
0.78,0.00,0,0.00,0,0.00
0.78,0.01,0,19.28,4,13.08
0.78,0.02,0,23.45,2,15.75
0.78,0.03,2,26.92,0,18.66
0.78,0.04,2,28.46,5,22.40
0.78,0.05,5,33.61,5,26.80
0.78,0.06,6,34.12,6,26.98
0.78,0.07,7,35.71,7,29.00
0.78,0.08,12,36.03,13,31.26
0.78,0.09,13,34.97,16,29.07
0.78,0.10,16,34.22,18,29.81
0.78,0.11,18,34.53,18,27.67
0.78,0.12,19,32.72,18,25.54
0.78,0.13,23,31.58,23,24.31
0.78,0.14,26,30.79,26,23.60
0.78,0.15,24,30.02,24,22.58
