T1,T2,T3,FAR,FRR,EER
1.100,0.070,75,7.60,49.78,28.69
1.100,0.080,86,12.00,47.78,29.89
1.100,0.090,116,6.87,52.44,29.66
1.100,0.100,123,15.20,45.78,30.49
1.100,0.110,142,16.09,45.78,30.93
1.100,0.120,175,10.47,56.22,33.34
1.200,0.010,5,2.60,56.67,29.63
1.200,0.020,11,6.11,48.44,27.28
1.200,0.030,16,10.93,42.67,26.80
1.200,0.040,24,13.11,41.56,27.33
1.200,0.050,37,13.73,41.11,27.42
1.200,0.060,62,7.29,49.33,28.31
1.200,0.070,76,9.29,47.33,28.31
1.200,0.080,89,14.24,46.00,30.12
1.200,0.090,116,10.02,49.78,29.90
1.200,0.100,132,13.82,47.78,30.80
1.200,0.110,148,17.36,45.33,31.34
1.200,0.120,167,20.13,47.33,33.73
1.300,0.010,5,2.73,56.22,29.48
1.300,0.020,11,6.60,48.44,27.52
1.300,0.030,16,12.00,41.78,26.89
1.300,0.040,28,9.38,45.56,27.47
1.300,0.050,40,12.53,42.89,27.71
1.300,0.060,62,8.87,48.22,28.54
1.300,0.070,82,7.93,49.56,28.74
1.300,0.080,95,12.56,47.33,29.94
1.300,0.090,124,9.22,51.78,30.50
1.300,0.100,133,17.16,46.00,31.58
1.300,0.110,151,20.11,44.00,32.06
1.300,0.120,188,11.67,55.78,33.72
1.400,0.010,5,2.89,56.22,29.56
1.400,0.020,9,10.18,45.11,27.64
1.400,0.030,16,13.20,41.56,27.38
1.400,0.040,26,13.69,41.56,27.62
1.400,0.050,40,14.64,42.44,28.54
1.400,0.060,62,10.33,46.89,28.61
1.400,0.070,82,9.82,48.44,29.13
1.400,0.080,104,10.13,50.00,30.07
1.400,0.090,115,17.49,44.67,31.08
1.400,0.100,144,13.71,51.11,32.41
1.400,0.110,159,19.18,46.67,32.92
1.400,0.120,202,8.56,59.78,34.17
1.500,0.010,5,3.00,55.56,29.28
1.500,0.020,9,10.51,44.44,27.48
1.500,0.030,14,18.38,35.78,27.08
1.500,0.040,30,10.40,45.56,27.98
1.500,0.050,40,16.82,40.44,28.63
1.500,0.060,63,11.62,45.78,28.70
1.500,0.070,82,11.96,46.67,29.31
1.500,0.080,103,13.24,47.11,30.18
1.500,0.090,124,15.20,47.56,31.38
