T1,T2,T3,FAR,FRR,EER
1.300,0.010,5,2.64,56.22,29.43
1.300,0.020,9,7.22,46.00,26.61
1.300,0.030,16,6.87,43.11,24.99
1.300,0.040,22,12.20,38.22,25.21
1.300,0.050,36,9.53,40.44,24.99
1.300,0.060,49,11.38,39.56,25.47
1.300,0.070,73,5.67,46.89,26.28
1.300,0.080,89,7.09,46.22,26.66
1.300,0.090,98,12.80,39.56,26.18
1.300,0.100,122,9.64,43.11,26.38
1.300,0.110,148,6.76,45.78,26.27
1.300,0.120,155,13.71,38.67,26.19
1.400,0.010,5,2.82,56.22,29.52
1.400,0.020,10,5.96,47.78,26.87
1.400,0.030,16,7.76,42.67,25.21
1.400,0.040,24,10.60,40.00,25.30
1.400,0.050,36,11.51,40.00,25.76
1.400,0.060,56,7.36,44.22,25.79
1.400,0.070,74,6.73,46.22,26.48
1.400,0.080,75,21.27,32.67,26.97
1.400,0.090,106,10.58,41.56,26.07
1.400,0.100,120,14.62,38.00,26.31
1.400,0.110,138,15.49,38.00,26.74
1.400,0.120,157,16.38,37.11,26.74
1.500,0.010,5,2.89,55.56,29.22
1.500,0.020,10,6.31,47.11,26.71
1.500,0.030,16,8.62,41.56,25.09
1.500,0.040,24,12.20,39.11,25.66
1.500,0.050,34,16.42,35.33,25.88
1.500,0.060,56,9.07,42.22,25.64
1.500,0.070,66,15.31,38.00,26.66
1.500,0.080,94,8.20,45.11,26.66
1.500,0.090,106,13.56,38.67,26.11
1.500,0.100,131,10.40,43.78,27.09
1.500,0.110,146,13.87,39.33,26.60
1.500,0.120,166,14.27,39.11,26.69
1.600,0.010,5,2.96,55.33,29.14
1.600,0.020,10,6.64,46.89,26.77
1.600,0.030,16,9.44,40.89,25.17
1.600,0.040,24,13.56,38.00,25.78
1.600,0.050,40,10.51,42.00,26.26
1.600,0.060,58,9.29,43.56,26.42
1.600,0.070,74,10.71,42.89,26.80
1.600,0.080,94,10.09,43.11,26.60
1.600,0.090,107,15.98,36.44,26.21
1.600,0.100,132,12.56,41.56,27.06
1.600,0.110,145,17.96,35.56,26.76
1.600,0.120,166,18.33,36.22,27.28
1.700,0.010,5,3.09,55.33,29.21
1.700,0.020,10,7.00,46.44,26.72
1.700,0.030,16,10.53,40.67,25.60
1.700,0.040,27,10.04,42.22,26.13
1.700,0.050,40,12.29,40.44,26.37
1.700,0.060,63,7.09,46.89,26.99
1.700,0.070,75,11.71,42.22,26.97
1.700,0.080,94,12.69,41.33,27.01
1.700,0.090,107,19.07,34.89,26.98
1.700,0.100,131,16.49,38.22,27.36
1.700,0.110,159,11.78,40.89,26.33
1.700,0.120,176,14.36,40.00,27.18
1.800,0.010,5,3.18,55.33,29.26
1.800,0.020,10,7.24,46.44,26.84
1.800,0.030,16,11.13,40.00,25.57
1.800,0.040,27,11.31,41.11,26.21
1.800,0.050,40,14.02,39.33,26.68
1.800,0.060,63,8.42,45.11,26.77
1.800,0.070,84,7.51,47.11,27.31
1.800,0.080,103,8.67,44.89,26.78
1.800,0.090,115,15.31,38.22,26.77
1.800,0.100,138,14.38,41.33,27.86
1.800,0.110,160,13.82,39.78,26.80
1.800,0.120,192,8.42,46.67,27.54
1.900,0.010,5,3.24,55.33,29.29
1.900,0.020,10,7.49,46.22,26.86
1.900,0.030,18,8.78,43.11,25.94
1.900,0.040,30,8.40,44.00,26.20
1.900,0.050,43,12.09,41.33,26.71
1.900,0.060,70,5.69,48.22,26.96
1.900,0.070,84,9.38,45.56,27.47
1.900,0.080,100,13.22,40.44,26.83
1.900,0.090,126,10.22,44.22,27.22
1.900,0.100,135,19.67,36.00,27.83
1.900,0.110,164,14.09,39.78,26.93
1.900,0.120,194,9.73,45.56,27.64
