T1,T2,T3,FAR,FRR,EER
1.100,0.070,57,9.80,39.56,24.68
1.100,0.080,67,14.36,34.44,24.40
1.100,0.090,84,13.71,36.00,24.86
1.100,0.100,116,5.33,44.89,25.11
1.100,0.110,124,10.04,39.11,24.58
1.100,0.120,141,11.16,39.78,25.47
1.200,0.010,8,0.93,57.78,29.36
1.200,0.020,9,5.58,46.22,25.90
1.200,0.030,12,11.93,36.67,24.30
1.200,0.040,20,11.78,36.44,24.11
1.200,0.050,33,8.98,38.00,23.49
1.200,0.060,45,10.29,38.44,24.37
1.200,0.070,63,8.00,42.00,25.00
1.200,0.080,67,18.18,31.33,24.76
1.200,0.090,88,14.18,35.11,24.64
1.200,0.100,118,6.80,43.33,25.07
1.200,0.110,138,6.49,43.56,25.02
1.200,0.120,147,11.80,38.44,25.12
1.300,0.010,8,1.00,57.78,29.39
1.300,0.020,9,6.02,46.22,26.12
1.300,0.030,12,12.96,35.33,24.14
1.300,0.040,23,8.76,40.00,24.38
1.300,0.050,36,7.64,40.44,24.04
1.300,0.060,49,9.00,39.78,24.39
1.300,0.070,59,13.69,36.89,25.29
1.300,0.080,74,15.13,35.33,25.23
1.300,0.090,96,11.42,38.22,24.82
1.300,0.100,118,9.44,40.89,25.17
1.300,0.110,128,15.29,35.33,25.31
1.300,0.120,155,10.27,39.11,24.69
1.400,0.010,8,1.04,57.78,29.41
1.400,0.020,9,6.44,46.22,26.33
1.400,0.030,12,14.22,35.11,24.67
1.400,0.040,23,10.29,38.67,24.48
1.400,0.050,33,13.09,36.00,24.54
1.400,0.060,49,11.07,38.89,24.98
1.400,0.070,66,10.13,41.33,25.73
1.400,0.080,74,18.44,32.00,25.22
1.400,0.090,106,7.93,41.78,24.86
1.400,0.100,121,10.69,38.67,24.68
1.400,0.110,136,13.36,37.11,25.23
1.400,0.120,156,13.24,36.67,24.96
1.500,0.010,8,1.11,57.11,29.11
1.500,0.020,9,6.89,45.33,26.11
1.500,0.030,13,12.96,35.56,24.26
1.500,0.040,23,11.69,37.56,24.62
1.500,0.050,33,15.27,34.22,24.74
1.500,0.060,56,7.20,42.67,24.93
1.500,0.070,66,12.33,38.00,25.17
1.500,0.080,79,16.62,33.78,25.20
1.500,0.090,106,10.33,38.89,24.61
