T1,T2,T3,FAR,FRR,EER
1.300,0.010,8,0.69,58.00,29.34
1.300,0.020,10,3.29,48.67,25.98
1.300,0.030,15,4.80,43.33,24.07
1.300,0.040,22,6.56,41.11,23.83
1.300,0.050,34,5.84,41.56,23.70
1.300,0.060,42,10.58,37.11,23.84
1.300,0.070,56,10.47,38.44,24.46
1.300,0.080,65,16.16,32.67,24.41
1.300,0.090,80,16.36,32.67,24.51
1.300,0.100,102,12.02,37.33,24.68
1.300,0.110,119,12.22,37.56,24.89
1.300,0.120,133,14.56,34.44,24.50
1.400,0.010,8,0.76,58.00,29.38
1.400,0.020,10,3.67,48.22,25.94
1.400,0.030,15,5.47,43.11,24.29
1.400,0.040,22,7.71,39.78,23.74
1.400,0.050,34,7.31,41.11,24.21
1.400,0.060,43,11.98,36.89,24.43
1.400,0.070,60,9.11,40.44,24.78
1.400,0.080,67,17.24,32.44,24.84
1.400,0.090,91,10.49,38.67,24.58
1.400,0.100,112,8.53,40.44,24.49
1.400,0.110,128,9.40,40.00,24.70
1.400,0.120,134,17.51,31.78,24.64
1.500,0.010,8,0.84,57.56,29.20
1.500,0.020,10,3.93,47.56,25.74
1.500,0.030,15,6.18,41.56,23.87
1.500,0.040,22,8.98,39.33,24.16
1.500,0.050,36,6.73,41.56,24.14
1.500,0.060,54,4.49,44.67,24.58
1.500,0.070,61,10.13,39.56,24.84
1.500,0.080,71,16.11,33.78,24.94
1.500,0.090,95,10.24,38.89,24.57
1.500,0.100,112,10.71,39.33,25.02
1.500,0.110,123,15.89,33.56,24.72
1.500,0.120,144,13.98,36.22,25.10
1.600,0.010,8,0.87,57.33,29.10
1.600,0.020,10,4.29,47.33,25.81
1.600,0.030,15,6.91,40.89,23.90
1.600,0.040,23,8.67,40.44,24.56
1.600,0.050,36,8.02,40.89,24.46
1.600,0.060,44,15.04,34.67,24.86
1.600,0.070,63,10.62,39.33,24.98
1.600,0.080,79,11.67,38.44,25.06
1.600,0.090,99,10.16,38.89,24.52
1.600,0.100,119,9.33,41.11,25.22
1.600,0.110,130,13.93,35.56,24.74
1.600,0.120,150,13.53,37.11,25.32
1.700,0.010,8,0.98,57.33,29.16
1.700,0.020,10,4.78,46.89,25.83
1.700,0.030,15,7.67,40.67,24.17
1.700,0.040,23,9.60,39.33,24.47
1.700,0.050,34,12.00,37.33,24.67
1.700,0.060,46,14.80,34.89,24.84
1.700,0.070,70,7.27,43.33,25.30
1.700,0.080,76,16.60,33.56,25.08
1.700,0.090,100,11.71,37.78,24.74
1.700,0.100,114,15.00,35.56,25.28
1.700,0.110,136,12.58,36.89,24.73
1.700,0.120,158,11.18,39.33,25.26
1.800,0.010,8,1.00,57.11,29.06
1.800,0.020,10,4.98,46.89,25.93
1.800,0.030,15,8.24,40.22,24.23
1.800,0.040,25,8.27,40.67,24.47
1.800,0.050,35,12.33,37.33,24.83
1.800,0.060,55,7.60,42.89,25.24
1.800,0.070,66,12.09,38.89,25.49
1.800,0.080,77,18.64,31.33,24.99
1.800,0.090,101,13.64,36.00,24.82
1.800,0.100,117,15.84,35.33,25.59
1.800,0.110,143,11.20,38.89,25.04
1.800,0.120,155,15.98,35.78,25.88
1.900,0.010,8,1.00,57.11,29.06
1.900,0.020,10,5.29,46.44,25.87
1.900,0.030,15,8.98,40.22,24.60
1.900,0.040,25,9.44,39.56,24.50
1.900,0.050,39,9.04,40.44,24.74
1.900,0.060,56,8.29,42.67,25.48
1.900,0.070,69,11.22,40.22,25.72
1.900,0.080,79,19.07,31.56,25.31
1.900,0.090,110,9.24,40.44,24.84
1.900,0.100,118,17.51,32.67,25.09
1.900,0.110,146,11.51,38.22,24.87
1.900,0.120,174,7.51,44.22,25.87
