T1,T2,T3,FAR,FRR,EER
0.10,0.01,0,9.69,45.56,27.62
0.10,0.11,37,16.73,38.44,27.59
0.10,0.21,106,20.33,44.22,32.28
0.10,0.31,178,28.24,45.11,36.68
0.10,0.41,300,12.93,68.89,40.91
0.10,0.51,345,21.42,64.44,42.93
0.10,0.61,431,12.78,75.78,44.28
0.10,0.71,471,14.60,76.67,45.63
0.10,0.81,276,82.29,9.11,45.70
0.10,0.91,294,84.24,8.67,46.46
0.20,0.01,0,14.96,40.67,27.81
0.20,0.11,68,12.60,40.89,26.74
0.20,0.21,154,26.02,35.78,30.90
0.20,0.31,265,30.11,45.56,37.83
0.20,0.41,397,18.89,62.44,40.67
0.20,0.51,524,8.13,77.33,42.73
0.20,0.61,556,14.00,73.78,43.89
0.20,0.71,616,11.20,79.11,45.16
0.20,0.81,448,73.82,16.89,45.36
0.20,0.91,489,71.69,18.22,44.96
0.30,0.01,0,19.11,37.11,28.11
0.30,0.11,85,13.49,39.11,26.30
0.30,0.21,203,25.89,36.89,31.39
0.30,0.31,349,22.91,52.67,37.79
0.30,0.41,500,10.69,71.11,40.90
0.30,0.51,577,12.33,72.00,42.17
0.30,0.61,617,17.02,68.89,42.96
0.30,0.71,456,79.87,8.67,44.27
0.30,0.81,494,79.69,9.33,44.51
0.30,0.91,570,70.73,19.33,45.03
0.40,0.01,0,21.84,35.11,28.48
0.40,0.11,95,17.76,32.89,25.32
0.40,0.21,264,16.60,48.22,32.41
0.40,0.31,421,15.76,58.67,37.21
0.40,0.41,509,22.58,58.00,40.29
0.40,0.51,495,56.00,28.44,42.22
0.40,0.61,633,27.87,58.67,43.27
0.40,0.71,586,61.20,25.56,43.38
0.40,0.81,637,55.64,31.78,43.71
0.40,0.91,647,61.84,25.78,43.81
0.50,0.01,0,23.53,33.56,28.54
0.50,0.11,107,18.62,32.22,25.42
0.50,0.21,269,26.96,38.22,32.59
0.50,0.31,444,20.58,54.89,37.73
0.50,0.41,559,19.42,62.67,41.04
0.50,0.51,646,16.80,67.11,41.96
0.50,0.61,678,23.73,60.44,42.09
0.50,0.71,679,38.38,47.78,43.08
0.50,0.81,742,26.42,58.44,42.43
0.50,0.91,756,31.80,54.44,43.12
0.60,0.01,0,25.11,33.33,29.22
0.60,0.11,127,14.49,35.33,24.91
0.60,0.21,313,20.33,42.89,31.61
0.60,0.31,486,17.04,56.89,36.97
0.60,0.41,530,39.40,40.89,40.14
0.60,0.51,593,44.67,36.22,40.44
0.60,0.61,640,48.29,34.22,41.26
0.60,0.71,660,57.24,26.00,41.62
0.60,0.81,754,30.60,51.11,40.86
0.60,0.91,742,45.84,35.78,40.81
0.70,0.01,18,18.33,40.44,29.39
0.70,0.11,136,15.98,35.33,25.66
0.70,0.21,320,27.00,37.33,32.17
0.70,0.31,467,31.02,43.78,37.40
0.70,0.41,547,42.02,37.56,39.79
0.70,0.51,695,16.62,63.11,39.87
0.70,0.61,712,28.16,52.44,40.30
0.70,0.71,712,43.42,37.78,40.60
0.70,0.81,733,48.44,32.89,40.67
0.70,0.91,768,42.84,37.78,40.31
0.80,0.01,18,19.36,39.56,29.46
0.80,0.11,153,14.04,37.11,25.58
0.80,0.21,352,23.20,40.67,31.93
0.80,0.31,493,29.84,43.78,36.81
0.80,0.41,561,44.49,32.22,38.36
0.80,0.51,698,21.31,57.33,39.32
0.80,0.61,693,42.44,35.78,39.11
0.80,0.71,713,49.18,29.56,39.37
0.80,0.81,783,33.22,45.11,39.17
0.80,0.91,780,43.78,32.67,38.22
0.90,0.01,18,20.07,37.78,28.92
0.90,0.11,155,17.13,33.11,25.12
0.90,0.21,384,18.73,45.11,31.92
0.90,0.31,508,31.18,42.22,36.70
0.90,0.41,598,37.51,38.89,38.20
0.90,0.51,678,33.84,43.33,38.59
0.90,0.61,713,40.24,35.11,37.68
0.90,0.71,758,36.76,40.22,38.49
0.90,0.81,794,32.93,43.11,38.02
0.90,0.91,803,39.27,37.33,38.30
